R,yc
4,5.0149
4,4.8105
4,4.7232
4,4.6106
4,4.4357
4,4.3272
4,4.2207
4,4.2251
8,4.0254
8,4.0286
8,4.1263
8,4.418
8,4.7232
8,4.9988
8,5.2208
8,5.4839
8,5.5024
8,5.6943
4,5.8106
4,5.8953
4,5.8953
4,5.6852
4,5.6182
4,5.498
4,5.305
4,5.2124
4,5.1045
4,4.9092
8,4.826
8,4.6217
8,4.799
8,4.9279
8,5.2806
8,5.4124
8,5.498
8,5.7035
8,5.7874
8,5.8953
4,5.9883
4,6.0037
4,5.9979
4,5.8953
4,5.7966
4,5.5113
4,5.4893
4,5.305
4,5.2282
4,5.0118
8,4.9161
8,4.8067
8,4.8183
8,5.0028
8,5.4037
8,5.4047
8,5.6047
8,5.6989
8,5.8199
8,5.8953
4,5.9739
4,6.0967
4,6.0085
